"Player","Role_Type","Mat","Runs","SR","Avg","B_Wkts","B_Econ","TotalValue","optimal_bid","TotalValue_cr","optimal_bid_cr"
"D Padikkal","Batsman",74,1802,126.46,25.74,0,9.29654545454545,43576589.3735902,4357658.93735902,4.36,0.44
"D Pretorius","Batsman",5,44,157.14,11,6,9.52,27187858.5508109,2718785.85508109,2.72,0.27
"D Salunkhe","Batsman",3,33,137.5,33,1,9.96,2304879.89510605,230487.989510605,0.23,0.02
"D Wiese","Batsman",11,147,147,29.4,16,8.92,15334785.4801922,1533478.54801922,1.53,0.15
"D du Preez","Batsman",1,10,76.92,10,4,8,2e+05,20000,0.02,0
"DA Miller","Batsman",133,3062,138.43,37.34,0,9.29654545454545,68218729.0818898,6821872.90818898,6.82,0.68
"DA Warner","Batsman",184,6537,139.68,41.64,0,12,157416775.889661,15741677.5889661,15.74,1.57
"DAJ Bracewell","Batsman",1,12,133.33,12,3,8,11020376.9420437,1102037.69420437,1.1,0.11
"DB Das","Batsman",22,304,116.92,25.33,0,9.29654545454545,5294810.58496287,529481.058496287,0.53,0.05
"DB Ravi Teja","Batsman",25,373,118.41,19.63,1,9.33,12534459.1552031,1253445.91552031,1.25,0.13
"DE Bollinger","Bowler",4,21,95.45,21,37,7.22,7959157.46268068,795915.746268068,0.8,0.08
"DG Nalkande","Batsman",2,12,100,6,6,10.57,15942073.4786842,1594207.34786842,1.59,0.16
"DH Yagnik","Batsman",17,168,126.32,18.67,0,9.29654545454545,10263918.0647352,1026391.80647352,1.03,0.1
"DJ Bravo","All rounder",110,1546,129.26,22.74,183,8.38,137486385.515564,13748638.5515564,13.75,1.37
"DJ Harris","Batsman",4,111,109.9,37,0,8.67,2e+05,20000,0.02,0
"DJ Hooda","Batsman",101,1480,126.82,18.97,10,8.64,44466991.730534,4446699.1730534,4.45,0.44
"DJ Hussey","Batsman",61,1316,122.99,29.24,8,8.97,31401115.7718076,3140111.57718076,3.14,0.31
"DJ Jacobs","Batsman",7,92,93.88,13.14,0,9.29654545454545,2485808.42391485,248580.842391485,0.25,0.02
"DJ Malan","Batsman",1,26,100,26,0,9.29654545454545,2e+05,20000,0.02,0
"DJ Mitchell","Batsman",15,351,131.46,27,1,12.12,20342207.936385,2034220.7936385,2.03,0.2
"DJ Muthuswami","Batsman",1,1,33.33,1,4,7.21,2e+05,20000,0.02,0
"DJ Thornely","Batsman",4,39,73.58,13,3,5.71,2e+05,20000,0.02,0
"DJ Willey","Batsman",5,53,85.48,26.5,6,7.56,2e+05,20000,0.02,0
"DJG Sammy","Batsman",20,295,122.41,19.67,11,8.9,15852571.4923412,1585257.14923412,1.59,0.16
"DJM Short","Batsman",7,115,116.16,16.43,1,6.33,2e+05,20000,0.02,0
"DL Chahar","Bowler",16,117,139.29,14.62,88,8.14,60313360.6269964,6031336.06269964,6.03,0.6
"DL Vettori","Bowler",16,121,108.04,17.29,28,6.79,10782974.6882752,1078297.46882752,1.08,0.11
"DM Bravo","Batsman",1,6,120,6,0,9.29654545454545,14327919.2723937,1432791.92723937,1.43,0.14
"DNT Zoysa","Batsman",2,11,122.22,11,2,9,11272688.776811,1127268.8776811,1.13,0.11
"DP Conway","Batsman",28,1079,140.13,44.96,0,9.29654545454545,15703318.6537306,1570331.86537306,1.57,0.16
"DP Nannes","Bowler",2,4,30.77,4,28,7.29,2e+05,20000,0.02,0
"DP Vijaykumar","Batsman",1,1,100,1,4,7.86,8832141.06275271,883214.106275271,0.88,0.09
"DPMD Jayawardene","Batsman",78,1806,123.53,31.14,0,9.29654545454545,38513937.9902222,3851393.79902222,3.85,0.39
"DR Martyn","Batsman",1,19,79.17,19,0,9.29654545454545,2e+05,20000,0.02,0
"DR Sams","Batsman",13,44,100,4.89,14,8.72,15342409.0761109,1534240.90761109,1.53,0.15
"DR Shorey","Batsman",2,13,76.47,6.5,0,9.29654545454545,278568.902699582,27856.8902699582,0.03,0
"DR Smith","All rounder",88,2379,135.56,29.74,26,9.02,70261361.9473697,7026136.19473697,7.03,0.7
"DS Kulkarni","Bowler",20,104,96.3,13,86,8.31,47133550.1304922,4713355.01304922,4.71,0.47
